,Benchmark,Mean,Median,Best,Worst,STD
0,F1,0.0017645597457885743,0.0019949674606323242,0.0,0.0030112266540527344,0.0008167012641578556
1,F2,0.0021237850189208983,0.0019947290420532227,0.0009989738464355469,0.003990650177001953,0.000905865822531592
2,F3,0.0018000125885009766,0.0019919872283935547,0.0009953975677490234,0.003500699996948242,0.0007128208901510733
3,F4,0.0018875598907470703,0.0019949674606323242,0.00099945068359375,0.0019981861114501953,0.0002963350163923959
4,F5,0.001898813247680664,0.001995086669921875,0.00099945068359375,0.0020275115966796875,0.00029994322851676253
5,F6,0.0014992475509643555,0.001497507095336914,0.0009932518005371094,0.001995563507080078,0.0004894994375953599
6,F7,0.001899409294128418,0.00199735164642334,0.0009951591491699219,0.0029916763305664062,0.0005374881188329947
7,F8,0.0016999244689941406,0.001994609832763672,0.0009968280792236328,0.002023935317993164,0.0004596290109163256
8,F9,0.0015943050384521484,0.0019807815551757812,0.0009975433349609375,0.0019974708557128906,0.00048581949593804944
9,F10,0.0018028974533081054,0.001996159553527832,0.0009968280792236328,0.0020265579223632812,0.0003943625272094731
10,F11,0.0020995378494262696,0.0019990205764770508,0.0019652843475341797,0.002991914749145508,0.000297907319418843
11,F12,0.001840829849243164,0.0019958019256591797,0.000997304916381836,0.002963542938232422,0.0006178320102538428
12,F13,0.001701688766479492,0.001995563507080078,0.0009908676147460938,0.002025604248046875,0.00045659211115075534
