,Benchmark,Mean,Median,Best,Worst,STD
0,F1,0.0007895231246948242,0.0009969472885131836,0.0,0.0015065670013427734,0.0005464067430177413
1,F2,0.001000523567199707,0.0009975433349609375,0.0,0.001992940902709961,0.000445717960505448
2,F3,0.0007538080215454101,0.0009976625442504883,0.0,0.0010106563568115234,0.00040086599879726704
3,F4,0.0009103298187255859,0.0009987354278564453,0.0,0.0010809898376464844,0.00030473022419774036
4,F5,0.0008488178253173828,0.000997781753540039,0.0,0.0015017986297607422,0.0004498084023219849
5,F6,0.0010076045989990234,0.0009989738464355469,0.0,0.001997232437133789,0.0005969941596717592
6,F7,0.0005500316619873047,0.0004981756210327148,0.0,0.0015072822570800781,0.0005685633796230808
7,F8,0.0011594057083129882,0.0009968280792236328,0.0,0.005993366241455078,0.0017044668196180455
8,F9,0.0007047653198242188,0.0009970664978027344,0.0,0.0010912418365478516,0.0004623573996006792
9,F10,0.0010011672973632812,0.0009976625442504883,0.0,0.002992868423461914,0.0007728235749961534
10,F11,0.001053786277770996,0.0009979009628295898,0.0,0.002524137496948242,0.0005744410108176727
11,F12,0.0008222341537475586,0.0009968280792236328,0.0,0.0022640228271484375,0.0006544287823126752
12,F13,0.0006019830703735352,0.0009971857070922852,0.0,0.0010304450988769531,0.0004916073329904237
